insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('1079','VETOR EDITORA PSICO PEDAGOGICA LTDA','1','15799');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('1156','AUTO POSTO NOVA ITAPEVI','1','16210');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('3410','FARMACLUB DROGARAIS LTDA - EPP','1','10726');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('4529','TOALHEIRO GUARANY LTDA EPP','1','14863');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('4911','CARLOS CESAR PRALIOLA - ME','1','16212');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('5363','INOVE DIAGNOSTICO E TERAPEUTICO LTDA','1','16115');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('5667','AMICOM COM. E SERV. DE INF. LTDA EPP','1','16128');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('5722','HOLEC INDUSTRIAS ELETRICAS LTDA','1','16190');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('5953','HOSPITAL E MATERNIDADE MUNIC. DE JANDIRA','1','16186');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('6298','PREFEITURA MUNICIPAL DE ITAPEVI','1','15138');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('6624','PRO DESCART INDUSTRIA E COMERCIO LTDA','1','11571');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('6707','ENRICO PAGANO COM DE TECIDOS LTDA','1','16188');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('6922','ORTOBACK EQUIPAMENTOS MEDICOS LTDA','1','16157');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('7100','MILLENIUM QUIMICA COMERCIAL LTDA','1','16113');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('9492','ARTHROM COMERCIO DE IMPLANTES ORTOP LTDA','1','16129');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('10076','MARIA AP ZAGO STECI - ME','1','16209');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('10453','JAIRO MENDES DE OLIVEIRA JUCA - ME','1','16169');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('10498','PRODUQUALITY COM DE EQUIP DE HIG E DE CO','1','16162');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('10816','ANTONIO CARLOS MARTIM - ME','1','16139');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('11112','LEANDRO VIEIRA DA SILVA-ME','1','11064');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('11198','MB OSTEOS COM E IMP DE MATERIAL MEDICO L','1','15656');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('12552','ICE COMERCIO DE PROD. ODONTOLOGICOS LTDA','1','16132');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('13097','FUTURA COM DE PRODUTOS MEDICOS E ESPORTI','1','16194');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('13115','STORM PRODUTOS MEDICOS HOSPITALARES LTDA','1','16155');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('13144','ESPUMABRAZ INDÚSTRIA E COMÉRCIO DE ESPUM','1','14306');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('13209','CASA CHICK ON - LINE LTDA - ME','1','16159');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('13219','DARLEY ANDERSON DA SILVA VENTILACAO ME','1','16163');
insert into dbamv.de_para_fornecedor(cd_fornecedor_de, ds_fornecedor_de, cd_multi_empresa_de, cd_fornecedor_para) values ('13246','NOVA PONTO COM - COMERCIO ELETRONICO S/A','1','16154');
